Registracni_cislo;Poradi_uchazece;Prijat;Duvod_neprijeti;Body_celkem;Soucet_CJ_MA;CJL_body;MA_body;CJL_ou;MA_ou;Nabozenstvi;Souteze;Certifikat
810674;1;ANO;;101,76;96;46;50;93,75;100;0,03;;0,03
802619;2;NE;Přijat na více prioritní školu;97,92;96;46;50;87,5;100;0,02;;
810450;3;NE;Přijat na více prioritní školu;96,12;89;43;46;68,75;87,88;0,05;;0,03
800099;4;ANO;;94,34;89;44;45;87,5;90,91;0,03;;0,03
811651;5;NE;Přijat na více prioritní školu;94;94;44;50;100;100;;;
810571;6;ANO;;92,02;86;46;40;81,25;75,76;0,03;;0,04
811958;7;NE;Přijat na více prioritní školu;91;91;45;46;75;87,88;;;
815121;8;ANO;;90,64;88;45;43;93,75;78,79;0,03;;
807028;9;ANO;;89;89;45;44;81,25;87,88;;;
810503;10;ANO;;89;89;47;42;100;81,82;;;
814753;11;ANO;;87,55;85;41;44;87,5;93,94;0,03;;
808329;12;NE;Přijat na více prioritní školu;87;87;43;44;75;93,94;;;
807127;13;ANO;;86,52;84;44;40;93,75;75,76;0,03;;
810588;14;ANO;;86,32;83;45;38;87,5;75,76;0,03;;0,01
817111;15;ANO;;86;86;41;45;62,5;90,91;;;
814501;16;NE;Přijat na více prioritní školu;85;85;41;44;75;93,94;;;
813616;17;NE;Přijat na více prioritní školu;85;85;46;39;81,25;66,67;;;
805529;18;ANO;;84,46;82;45;37;87,5;60,61;0,03;;
814822;19;NE;Přijat na více prioritní školu;84;84;36;48;62,5;93,94;;;
812997;20;NE;Přijat na více prioritní školu;84;84;39;45;68,75;84,85;;;
814354;21;ANO;;84;84;43;41;62,5;72,73;;;
815286;22;ANO;;84;84;45;39;87,5;78,79;;;
801107;23;NE;Přijat na více prioritní školu;84;84;46;38;93,75;69,7;;;
803582;24;NE;Přijat na více prioritní školu;84;84;49;35;100;78,79;;;
802125;25;ANO;;83,43;81;42;39;81,25;66,67;0,03;;
808546;26;ANO;;83;83;46;37;87,5;60,61;;;
804043;27;NE;Přijat na více prioritní školu;82,4;80;37;43;87,5;90,91;0,03;;
801054;28;NE;Přijat na více prioritní školu;81,37;79;42;37;75;72,73;0,03;;
814564;29;NE;Přijat na více prioritní školu;81;81;39;42;81,25;87,88;;;
813289;30;NE;Přijat na více prioritní školu;81;81;46;35;93,75;60,61;;;
800456;31;NE;Přijat na více prioritní školu;81;81;46;35;87,5;66,67;;;
801856;32;ANO;;80;80;40;40;81,25;75,76;;;
811981;33;ANO;;79,31;77;39;38;68,75;75,76;0,03;;
814732;34;ANO;;79;79;39;40;50;81,82;;;
808917;35;ANO;;79;79;42;37;75;84,85;;;
815529;36;NE;Přijat na více prioritní školu;79;79;43;36;87,5;75,76;;;
804178;37;NE;Přijat na více prioritní školu;78,28;76;40;36;68,75;57,58;0,03;;
801831;38;ANO;;78;78;40;38;100;81,82;;;
812592;39;ANO;;78;78;40;38;75;75,76;;;
807890;40;ANO;;77;77;43;34;75;57,58;;;
809899;41;NE;Přijat na více prioritní školu;77;77;43;34;68,75;57,58;;;
817762;42;NE;Přijat na více prioritní školu;76;76;30;46;68,75;93,94;;;
813290;43;NE;Přijat na více prioritní školu;75;75;36;39;68,75;72,73;;;
805773;44;NE;Přijat na více prioritní školu;75;75;37;38;62,5;63,64;;;
813639;45;NE;Přijat na více prioritní školu;75;75;39;36;68,75;57,58;;;
802477;46;ANO;;74,2;70;37;33;62,5;66,67;0,03;;0,03
815693;47;ANO;;74,2;70;40;30;87,5;51,52;0,03;;0,03
811492;48;ANO;;74,16;72;36;36;43,75;75,76;0,03;;
803484;49;ANO;;74,16;72;40;32;81,25;63,64;0,03;;
803962;50;NE;Přijat na více prioritní školu;74;74;34;40;68,75;87,88;;;
806084;51;NE;Přijat na více prioritní školu;73;73;35;38;62,5;75,76;;;
819189;52;ANO;;72,1;70;30;40;62,5;75,76;0,03;;
812596;53;ANO;;72,1;70;40;30;75;51,52;0,03;;
812828;54;NE;Přijat na více prioritní školu;72,1;70;41;29;68,75;60,61;0,03;;
808741;55;ANO;;72,1;70;47;23;93,75;45,45;0,03;;
812526;56;ANO;;72;72;37;35;68,75;72,73;;;
812386;57;ANO;;71,07;69;33;36;43,75;63,64;0,03;;
