přijat/nepřijat;reg. číslo;tajné číslo;JPZ body;JPZ percentil;psychotest body;psychotest percentil;pohovor body;pohovor percentil;pořadí;poznámka
ANO;801107;1;84;93%;29;91%;28;81%;5;
NE;801541;2;44;34%;25;56%;18;21%;85;Nepřijat pro nedostačující kapacitu oboru
ANO;801989;3;46;40%;24;47%;27;70%;63;
NE;803086;4;27;5%;15;3%;12;4%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
ANO;803300;5;76;89%;29;91%;23;42%;14;
NE;804199;6;66;74%;28;83%;30;95%;17;Přijat na více prioritní školu
NE;805165;7;18;1%;15;3%;15;11%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;805169;8;39;27%;22;30%;17;17%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;805269;9;46;40%;16;6%;15;11%;94;Přijat na více prioritní školu
NE;805394;10;60;68%;25;56%;24.5;55%;44;Přijat na více prioritní školu
ANO;805547;11;52;55%;23;36%;26;61%;59;
ANO;805921;12;38;25%;24;47%;28;81%;79;
ANO;805952;13;45;36%;26;67%;17;17%;76;
ANO;806087;14;88;96%;28;83%;29.5;92%;3;
NE;806313;15;76;89%;22;30%;20;28%;39;Přijat na více prioritní školu
ANO;806316;16;60;68%;24;47%;27;70%;42;
ANO;806324;17;51;52%;25;56%;24.5;55%;55;
NE;806452;18;12;0%;0;0%;0;0%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
ANO;806504;19;61;70%;21;24%;12.5;8%;62;
ANO;806551;20;75;87%;27;79%;19;24%;23;
NE;806868;21;47;42%;21;24%;9;2%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;806882;22;30;11%;26;67%;16;14%;96;Nepřijat pro nedostačující kapacitu oboru
NE;806919;23;21;2%;19;14%;12;4%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;807028;24;89;98%;28;83%;19.5;27%;13;Přijat na více prioritní školu
ANO;807099;25;74;86%;26;67%;15;11%;27;
ANO;807114;26;72;83%;25;56%;29.5;92%;20;
NE;807142;27;68;78%;24;47%;20.5;30%;47;Přijat na více prioritní školu
ANO;807144;28;75;87%;23;36%;21;32%;36;
ANO;807168;29;72;83%;23;36%;24;48%;34;
ANO;807197;30;55;62%;26;67%;27;70%;40;
NE;807426;31;41;29%;22;30%;23;42%;91;Nepřijat pro nedostačující kapacitu oboru
NE;807432;32;63;72%;26;67%;19;24%;46;Přijat na více prioritní školu
ANO;807528;33;53;58%;25;56%;28;81%;48;
NE;807592;34;42;30%;20;19%;27;70%;86;Nepřijat pro nedostačující kapacitu oboru
NE;807787;35;43;33%;20;19%;22.5;41%;92;Nepřijat pro nedostačující kapacitu oboru
ANO;807839;36;45;36%;23;36%;25;58%;78;
NE;808006;37;28;7%;23;36%;30;95%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;808041;38;57;64%;24;47%;29;91%;41;Přijat na více prioritní školu
NE;808131;39;51;52%;23;36%;17;17%;71;Přijat na více prioritní školu
ANO;808425;40;50;50%;26;67%;28;81%;52;
NE;808522;41;71;81%;28;83%;26;61%;19;Přijat na více prioritní školu
NE;808710;42;45;36%;18;11%;19;24%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
ANO;809387;43;48;45%;21;24%;23.5;45%;77;
NE;809740;44;47;42%;20;19%;24;48%;84;Nepřijat pro nedostačující kapacitu oboru
NE;809805;45;35;23%;19;14%;26;61%;95;Nepřijat pro nedostačující kapacitu oboru
NE;810042;46;33;18%;16;6%;23.5;45%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;810102;47;23;3%;23;36%;21;32%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;810316;48;28;7%;27;79%;20;28%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;810413;49;41;29%;18;11%;28;81%;88;Nepřijat pro nedostačující kapacitu oboru
NE;810674;50;96;100%;31;96%;26;61%;2;Přijat na více prioritní školu
NE;810798;51;51;52%;19;14%;24.5;55%;67;Přijat na více prioritní školu
ANO;810973;52;59;67%;25;56%;30;95%;31;
ANO;811290;53;49;47%;27;79%;28;81%;50;
NE;811389;54;68;78%;23;36%;24;48%;45;Přijat na více prioritní školu
ANO;811634;55;50;50%;26;67%;21.5;35%;58;
NE;811750;56;71;81%;0;0%;0;0%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;811758;57;34;22%;19;14%;22;36%;97;Nepřijat pro nedostačující kapacitu oboru
NE;811864;58;38;25%;21;24%;23;42%;93;Nepřijat pro nedostačující kapacitu oboru
ANO;811958;59;91;98%;34;99%;30;95%;1;
ANO;812047;60;67;75%;28;83%;22;36%;25;
ANO;812206;61;53;58%;27;79%;30;95%;28;
ANO;812221;94;52;55%;35;100%;27;70%;32;
NE;812230;62;57;64%;23;36%;22;36%;57;Přijat na více prioritní školu
ANO;812331;63;93;99%;30;95%;26;61%;4;
ANO;812540;64;67;75%;25;56%;24;48%;35;
